location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Cyprus,1995,0.6506398577457184,0.6118349107234833,Europe,0.2830718414533443,0.21597392013039937,0.06963388370423547,0.5758426966292135,0.367430400183586,24.0
Barbados,1995,0.509579718665786,0.5964021210052226,Americas,0.200990916597853,0.3583018448544121,0.43431442928930364,0.16573033707865167,0.33879330253271817,25.0
Tajikistan,1995,0.6547031174431082,0.8059404073461531,Europe,0.3114781172584641,0.33392605764243904,0.024407753050969126,0.13764044943820225,0.3064786986624046,26.0
Oman,1995,1.0,0.7832618217007492,Eastern Mediterranean,0.16829066886870356,0.184633622286434,0.09188801148600143,0.04962546816479402,0.26748749259727617,27.0
Trinidad and Tobago,1995,0.7096317046182816,0.6070431867917256,Americas,0.12617671345995046,0.18744906275468623,0.2670495333811917,0.08426966292134833,0.25627181015920913,28.0
Turkey,1995,0.807417203756307,0.4249906928051099,Europe,0.15904211395540874,0.09720678669333928,0.19454414931801864,0.16385767790262173,0.236373456499329,29.0
Russian Federation,1995,0.08160268741278354,0.6033292389013192,Europe,0.7033856317093311,0.0,0.0,0.22846441947565546,0.22715682433901715,30.0
Malaysia,1995,0.9476137761391636,0.5765124320889268,Western Pacific,0.053509496284062756,0.0787582425724235,0.025843503230437905,0.06741573033707865,0.19189813829665842,31.0
Thailand,1995,0.804178310196253,0.17840858972674822,South-East Asia,0.015028901734104046,0.04171297325331555,0.042354630294328774,0.03277153558052434,0.11857145649500635,32.0
Zimbabwe,1995,0.33701863470935445,-2.220446049250313e-16,Africa,0.0,0.09127954360228199,0.004307250538406315,0.0,0.05395363079556994,33.0
Finland,1996,0.5636480976887832,0.572965595668645,Europe,0.3415061295971979,1.0,1.0,0.916015625,0.8296534750169376,1.0
Iceland,1996,0.7985194575082109,0.5599533822728542,Europe,0.47826779175290557,0.8978687486811565,0.8039631988676575,1.0,0.819313880311534,2.0
Sweden,1996,0.47412254615813687,0.5760824350985987,Europe,0.4335296927240884,0.6791868889357812,0.46355272469922154,0.81640625,0.6156213005669021,3.0
Denmark,1996,0.39085457136440094,0.5711858090129707,Europe,0.6680464894125139,0.6120137863121616,0.25477707006369427,0.8310546875,0.578746927401434,4.0
Israel,1996,0.8699872007033889,0.41454056193662026,Europe,0.5683808310778538,0.3623127242034185,0.4437367303609342,0.8583984375,0.5767447380644082,5.0
Ireland,1996,0.6484076765308,0.5352772167447533,Europe,0.31523642732049034,0.843426883308715,0.47558386411889597,0.42578125,0.5580518633267391,6.0
Azerbaijan,1996,0.7153965068241517,0.9783076913583324,Europe,0.5753860850183091,0.6730674544559331,0.4033970276008493,0.3037109375,0.542036551462287,7.0
Australia,1996,0.7790474569397237,0.38929872447527947,Western Pacific,0.3622034707849068,0.7775902089048323,0.41047416843595186,0.44921875,0.53787454554623,8.0
